Gen 1-2, Matt 1
Gen 3-5, Matt 2
Gen 6-8, Matt 3
Gen 9-11, Matt 4
Gen 12-14, Matt 5:1-26
Gen 15-17, Matt 5:27-48
Gen 18-19, Matt 6
Gen 20-22, Matt 7
Gen 23-24, Matt 8
Gen 25-26, Matt 9:1-17
Gen 27-28, Matt 9:18-38
Gen 29-30, Matt 10:1-23
Gen 31-32, Matt 10:24-42
Gen 33-35, Matt 11
Gen 36-37, Matt 12:1-21
Gen 38-40, Matt 12:22-50
Gen 41, Matt 13:1-32
Gen 42-43, Matt 13:33-58
Gen 44-45, Matt 14:1-21
Gen 46-48, Matt 14:22-36
Gen 49-50, Matt 15:1-20
Ex 1-3, Matt 15:21-39
Ex 4-6, Matt 16
Ex 7-8, Matt 17
Ex 9-10, Matt 18:1-20
Ex 11-12, Matt 18:21-35
Ex 13-15, Matt 19:1-15
Ex 16-18, Matt 19:16-30
Ex 19-21, Matt 20:1-16
Ex 22-24, Matt 20:17-34
Ex 25-26, Matt 21:1-22
Ex 27-28, Matt 21:23-46
Ex 29-30, Matt 22:1-22
Ex 31-33, Matt 22:23-46
Ex 34-36, Matt 23:1-22
Ex 37-38, Matt 23:23-39
Ex 39-40, Matt 24:1-22
Lev 1-3, Matt 24:23-51
Lev 4-6, Matt 25:1-30
Lev 7-9, Matt 25:31-46
Lev 10-12, Matt 26:1-19
Lev 13, Matt 26:20-54
Lev 14, Matt 26:55-75
Lev 15-17, Matt 27:1-31
Lev 18-19, Matt 27:32-66
Lev 20-21, Matt 28:1-20
Lev 22-23, Mark 1:1-22
Lev 24-25, Mark 1:23-45
Lev 26-27, Mark 2
Num 1-2, Mark 3:1-21
Num 3-4, Mark 3:22-35
Num 5-6, Mark 4:1-20
Num 7, Mark 4:21-41
Num 8-10, Mark 5:1-20
Num 11-13, Mark 5:21-43
Num 14-15, Mark 6:1-32
Num 16-17, Mark 6:33-56
Num 18-20, Mark 7:1-13
Num 21-23, Mark 7:14-8:10
Num 24-27, Mark 8:11-38
Num 28-29, Mark 9:1-29
Num 30-31, Mark 9:30-50
Num 32-33, Mark 10:1-31
Num 34-36, Mark 10:32-52
Deut 1-2, Mark 11:1-19
Deut 3-4, Mark 11:20-33
Deut 5-7, Mark 12:1-27
Deut 8-10, Mark 12:28-44
Deut 11-13, Mark 13:1-13
Deut 14-16, Mark 13:14-37
Deut 17-19, Mark 14:1-25
Deut 20-22, Mark 14:26-50
Deut 23-25, Mark 14:51-72
Deut 26-27, Mark 15:1-26
Deut 28, Mark 15:27-47
Deut 29-30, Mark 16
Deut 31-32, Luke 1:1-23
Deut 33-34, Luke 1:24-56
Josh 1-3, Luke 1:57-80
Josh 4-6, Luke 2:1-24
Josh 7-8, Luke 2:25-52
Josh 9-10, Luke 3
Josh 11-13, Luke 4:1-32
Josh 14-15, Luke 4:33-44
Josh 16-18, Luke 5:1-16
Josh 19-20, Luke 5:17-39
Josh 21-22, Luke 6:1-26
Josh 23-24, Luke 6:27-49
Judg 1-2, Luke 7:1-30
Judg 3-5, Luke 7:31-50
Judg 6-7, Luke 8:1-21
Judg 8-9, Luke 8:22-56
Judg 10-11, Luke 9:1-36
Judg 12-14, Luke 9:37-62
Judg 15-17, Luke 10:1-24
Judg 18-19, Luke 10:25-42
Judg 20-21, Luke 11:1-28
Ruth 1-4, Luke 11:29-54
1 Sam 1-3, Luke 12:1-34
1 Sam 4-6, Luke 12:35-59
1 Sam 7-9, Luke 13:1-21
1 Sam 10-12, Luke 13:22-35
1 Sam 13-14, Luke 14:12-24
1 Sam 15-16, Luke 14:25-35
1 Sam 17-18, Luke 15:1-10
1 Sam 19-21, Luke 15:11-32
1 Sam 22-24, Luke 16:1-18
1 Sam 25-26, Luke 16:19-31
1 Sam 27-29, Luke 17:1-19
1 Sam 30-31, Luke 17:20-37
2 Sam 1-3, Luke 18:1-17
2 Sam 4-6, Luke 18:18-43
2 Sam 7-9, Luke 19:1-28
2 Sam 10-12, Luke 19:29-48
2 Sam 13-14, Luke 20:1-26
2 Sam 15-16, Luke 20:27-47
2 Sam 17-18, Luke 21:1-19
2 Sam 19-20, Luke 21:20-38
2 Sam 21-22, Luke 22:1-30
2 Sam 23-24, Luke 22:31-53
1 Kgs 1-2, Luke 22:54-71
1 Kgs 3-5, Luke 23:1-26
1 Kgs 6-7, Luke 23:27-38
1 Kgs 8-9, Luke 23:39-56
1 Kgs 10-11, Luke 24:1-35
1 Kgs 12-13, Luke 24:36-53
1 Kgs 14-15, John 1:1-28
1 Kgs 16-18, John 1:29-51
1 Kgs 19-20, John 2
1 Kgs 21-22, John 3:1-21
2 Kgs 1-3, John 3:22-36
2 Kgs 4-5, John 4:1-30
2 Kgs 6-8, John 4:31-54
2 Kgs 9-11, John 5:1-24
2 Kgs 12-14, John 5:25-47
2 Kgs 15-17, John 6:1-21
2 Kgs 18-19, John 6:22-44
2 Kgs 20-22, John 6:45-71
2 Kgs 23-25, John 7:1-31
1 Chr 1-2, John 7:32-53
1 Chr 3-5, John 8:1-20
1 Chr 6-7, John 8:21-36
1 Chr 8-10, John 8:37-59
1 Chr 11-13, John 9:1-23
1 Chr 14-16, John 9:24-41
1 Chr 17-19, John 10:1-21
1 Chr 20-22, John 10:22-42
1 Chr 23-25, John 11:1-17
1 Chr 26-27, John 11:18-46
1 Chr 28-29, John 11:47-57
2 Chr 1-3, John 12:1-19
2 Chr 4-6, John 12:20-50
2 Chr 7-9, John 13:1-17
2 Chr 10-12, John 13:18-38
2 Chr 13-16, John 14
2 Chr 17-19, John 15
2 Chr 20-22, John 16:1-15
2 Chr 23-25, John 16:16-33
2 Chr 26-28, John 17
2 Chr 29-31, John 18:1-23
2 Chr 32-33, John 18:24-40
2 Chr 34-36, John 19:1-22
