Matthew 1,Genesis 1
Matthew 2,Genesis 2
Matthew 3,Genesis 3
Matthew 4,Genesis 4
Matthew 5,Genesis 5  
Matthew 6,Genesis 6
Matthew 7,Genesis 7
Matthew 8,Genesis 8
Matthew 9,Genesis 9-10
Matthew 10,Genesis 11
Matthew 11,Genesis 12
Matthew 12,Genesis 13
Matthew 13,Genesis 14
Matthew 14,Genesis 15
Matthew 15,Genesis 16
Matthew 16,Genesis 17
Matthew 17,Genesis 18
Matthew 18,Genesis 19
Matthew 19,Genesis 20
Matthew 20,Genesis 21
Matthew 21,Genesis 22
Matthew 22,Genesis 23
Matthew 23,Genesis 24
Matthew 24,Genesis 25
Matthew 25,Genesis 26
Matthew 26,Genesis 27
Matthew 27,Genesis 28
Matthew 28,Genesis 29
Mark 1,Genesis 30
Mark 2,Genesis 31
Mark 3,Genesis 32
Mark 4,Genesis 33  
Mark 5,Genesis 34
Mark 6,Genesis 35-36
Mark 7,Genesis 37
Mark 8,Genesis 38
Mark 9,Genesis 39
Mark 10,Genesis 40
Mark 11,Genesis 41
Mark 12,Genesis 42
Mark 13,Genesis 43
Mark 14,Genesis 44
Mark 15,Genesis 45
Mark 16,Genesis 46
Luke 1:1-38,Genesis 47
Luke 1:39-80   ,Genesis 48
Luke 2,Genesis 49
Luke 3,Genesis 50
Luke 4,Exodus 1
Luke 5,Exodus 2
Luke 6,Exodus 3
Luke 7,Exodus 4
Luke 8,Exodus 5
Luke 9,Exodus 6
Luke 10,Exodus 7
Luke 11,Exodus 8
Luke 12,Exodus 9
Luke 13,Exodus 10
Luke 14,Exodus 11:1-12:21
Luke 15,Exodus 12:22-51
Luke 16,Exodus 13
Luke 17,Exodus 14
Luke 18,Exodus 15
Luke 19,Exodus 16
Luke 20,Exodus 17
Luke 21,Exodus 18
Luke 22,Exodus 19
Luke 23,Exodus 20
Luke 24,Exodus 21
John 1,Exodus 22
John 2,Exodus 23
John 3,Exodus 24
John 4,Exodus 25
John 5,Exodus 26
John 6,Exodus 27
John 7,Exodus 28
John 8,Exodus 29
John 9,Exodus 30
John 10,Exodus 31
John 11,Exodus 32
John 12,Exodus 33
John 13,Exodus 34
John 14,Exodus 35
John 15,Exodus 36
John 16,Exodus 37
John 17,Exodus 38
John 18,Exodus 39
John 19,Exodus 40
John 20,Leviticus 1
John 21,Leviticus 2-3
Psalm 1-2,Leviticus 4
Psalm 3-4,Leviticus 5
Psalm 5-6,Leviticus 6
Psalm 7-8,Leviticus 7
Psalm 9,Leviticus 8
Psalm 10,Leviticus 9
Psalm 11-12,Leviticus 10
Psalm 13-14,Leviticus 11-12
Psalm 15-16,Leviticus 13
Psalm 17,Leviticus 14
Psalm 18,Leviticus 15
Psalm 19,Leviticus 16
Psalm 20-21,Leviticus 17
Psalm 22,Leviticus 18
Psalm 23-24,Leviticus 19
Psalm 25,Leviticus 20
Psalm 26-27,Leviticus 21
Psalm 28-29,Leviticus 22
Psalm 30,Leviticus 23
Psalm 31,Leviticus 24
Psalm 32,Leviticus 25
Psalm 33,Leviticus 26
Psalm 34,Leviticus 27
Psalm 35,Numbers 1
Psalm 36,Numbers 2
Psalm 37,Numbers 3
Psalm 38,Numbers 4
Psalm 39,Numbers 5
Psalm 40-41,Numbers 6
Psalm 42-43,Numbers 7
Psalm 44,Numbers 8
Psalm 45,Numbers 9
Psalm 46-47,Numbers 10
Psalm 48,Numbers 11
Psalm 49,Numbers 12-13
Psalm 50,Numbers 14
Psalm 51,Numbers 15
Psalm 52-54,Numbers 16
Psalm 55,Numbers 17-18
Psalm 56-57,Numbers 19
Psalm 58-59,Numbers 20
Psalm 60-61,Numbers 21
Psalm 62-63,Numbers 22
Psalm 64-65,Numbers 23
Psalm 66-67,Numbers 24
Psalm 68,Numbers 25
Psalm 69,Numbers 26
Psalm 70-71,Numbers 27
Psalm 72,Numbers 28
Psalm 73,Numbers 29
Psalm 74,Numbers 30
Psalm 75-76,Numbers 31
Psalm 77,Numbers 32
Psalm 78:1-37,Numbers 33
Psalm 78:38-72    ,Numbers 34
Psalm 79,Numbers 35
Psalm 80,Numbers 36
Psalm 81-82,Deuteronomy 1
